ID,Detection
0009496A.jpg,812 1656 874 1703
0009496A.jpg,1437 1484 1499 1562
0009496A.jpg,1083 1468 1166 1562
0009496A.jpg,833 1468 916 1546
0009496A.jpg,1083 1406 1145 1453
0009496A.jpg,1416 1328 1478 1406
0009496A.jpg,895 1328 1041 1421
0009496A.jpg,749 1328 833 1437
0009496A.jpg,1520 1312 1645 1406
0009496A.jpg,999 1234 1103 1343
0009496A.jpg,1603 1203 1707 1296
0009496A.jpg,1374 1171 1457 1281
0009496A.jpg,1166 1171 1249 1562
0009496A.jpg,645 1093 791 1250
0009496A.jpg,812 1062 937 1328
0009496A.jpg,1208 1031 1270 1093
0009496A.jpg,499 1031 583 1156
0009496A.jpg,1312 1015 1374 1078
0009496A.jpg,978 1015 1041 1125
0009496A.jpg,1437 1000 1624 1156
0009496A.jpg,1103 1000 1187 1125
0009496A.jpg,708 1000 770 1046
0009496A.jpg,1749 953 1812 1031
0009496A.jpg,1187 921 1249 984
0009496A.jpg,1582 906 1707 984
0009496A.jpg,1437 906 1499 984
0009496A.jpg,1312 906 1374 968
0009496A.jpg,1103 906 1166 953
0009496A.jpg,812 906 916 1046
0009496A.jpg,1874 890 1957 1078
0009496A.jpg,978 875 1062 968
0009496A.jpg,437 859 562 968
0009496A.jpg,1749 843 1812 890
0009496A.jpg,1208 812 1291 906
0009496A.jpg,749 812 812 875
0009496A.jpg,1541 796 1645 875
0009496A.jpg,1416 781 1499 843
0009496A.jpg,999 765 1083 828
0009496A.jpg,1791 750 1916 843
0009496A.jpg,1687 703 1770 781
0009496A.jpg,604 703 770 1000
0009496A.jpg,1103 687 1187 765
0009496A.jpg,437 687 499 750
0009496A.jpg,1437 671 1499 734
0009496A.jpg,1520 656 1624 750
0009496A.jpg,1228 656 1395 796
0009496A.jpg,1791 640 1916 750
0009496A.jpg,541 625 666 781
0009496A.jpg,812 578 916 734
0009496A.jpg,1582 562 1687 625
0009496A.jpg,1249 546 1353 625
0009496A.jpg,687 531 791 625
0009496A.jpg,1874 515 1978 640
0009496A.jpg,1645 500 1812 609
0009496A.jpg,874 500 1187 828
0009496A.jpg,1187 484 1249 531
0009496A.jpg,1374 468 1562 562
0009496A.jpg,770 468 853 531
0009496A.jpg,1791 437 1853 500
0009496A.jpg,1291 390 1374 453
0009496A.jpg,1083 390 1145 484
0009496A.jpg,1603 375 1687 468
0009496A.jpg,1416 343 1541 421
0009496A.jpg,1582 281 1666 359
0009496A.jpg,833 281 895 406
0009496A.jpg,1687 265 1812 343
0009496A.jpg,1707 93 1770 171
000C7C0E.jpg,1895 1484 1978 1531
000C7C0E.jpg,2186 1453 2291 1546
000C7C0E.jpg,1770 1453 1874 1531
000C7C0E.jpg,2395 1421 2478 1515
000C7C0E.jpg,1645 1421 1707 1484
000C7C0E.jpg,2041 1406 2103 1453
000C7C0E.jpg,1499 1390 1562 1453
000C7C0E.jpg,2166 1312 2270 1421
000C7C0E.jpg,374 1312 437 1421
000C7C0E.jpg,1749 1296 1853 1421
000C7C0E.jpg,604 1265 687 1328
000C7C0E.jpg,1624 1250 1707 1343
000C7C0E.jpg,1999 1234 2103 1328
000C7C0E.jpg,2166 1187 2353 1312
000C7C0E.jpg,1853 1187 1978 1406
000C7C0E.jpg,916 1171 1020 1281
000C7C0E.jpg,708 1171 833 1265
000C7C0E.jpg,1353 1156 1457 1281
000C7C0E.jpg,1228 1156 1312 1265
000C7C0E.jpg,1083 1156 1166 1250
000C7C0E.jpg,1687 1140 1770 1203
000C7C0E.jpg,1520 1125 1603 1234
000C7C0E.jpg,583 1125 687 1218
000C7C0E.jpg,437 1093 541 1171
000C7C0E.jpg,1999 1078 2103 1187
000C7C0E.jpg,708 1062 791 1109
000C7C0E.jpg,229 1062 354 1156
000C7C0E.jpg,1832 1046 1937 1140
000C7C0E.jpg,833 1046 937 1156
000C7C0E.jpg,2291 1031 2416 1156
000C7C0E.jpg,1291 1015 1395 1125
000C7C0E.jpg,1145 1015 1228 1109
000C7C0E.jpg,999 1015 1083 1109
000C7C0E.jpg,1687 984 1791 1093
000C7C0E.jpg,1520 984 1624 1078
000C7C0E.jpg,541 984 645 1078
000C7C0E.jpg,2353 937 2457 1000
000C7C0E.jpg,1916 921 2124 1015
000C7C0E.jpg,728 921 853 1015
000C7C0E.jpg,1395 906 1499 1000
000C7C0E.jpg,395 906 499 1015
000C7C0E.jpg,187 906 312 1000
000C7C0E.jpg,1187 890 1291 984
000C7C0E.jpg,1062 875 1124 968
000C7C0E.jpg,1791 859 1874 968
000C7C0E.jpg,895 859 1020 953
000C7C0E.jpg,1582 828 1687 937
000C7C0E.jpg,520 812 645 921
